name,source,family,arch,img_size,batch_size,global_batch_size,lr,dropout,weight_decay,label_smoothing,best_val_acc,best_epoch,test_acc,run_dir,cfg_hash,epochs,val_split
ResNet101 (569dcf),single_arch,ResNet,ResNet101,224,6,16,0.0001,0.0,0.0001,0.03,0.9848706686188384,18,0.9797033567525372,~/Alzheimers/Results/ArchSweep/ResNet101/569dcf7f61,569dcf7f61,20,0.2
ResNeXt50_32x4d (f36fd9),single_arch,ResNeXt,ResNeXt50_32x4d,224,6,16,5e-05,0.2,0.0001,0.03,0.9912152269399708,16,0.9789227166276346,~/Alzheimers/Results/ArchSweep/ResNeXt50_32x4d/f36fd9955f,f36fd9955f,20,0.2
DenseNet161 (305f0a),single_arch,DenseNet,DenseNet161,224,6,16,2.5e-05,0.2,0.0001,0.03,0.990239141044412,20,0.9789227166276346,~/Alzheimers/Results/ArchSweep/DenseNet161/305f0ad1f4,305f0ad1f4,20,0.2
DenseNet121 (d3c75f),single_arch,DenseNet,DenseNet121,224,6,16,0.0001,0.0,0.0001,0.03,0.9897510980966324,16,0.9789227166276346,~/Alzheimers/Results/ArchSweep/DenseNet121/d3c75f4a9e,d3c75f4a9e,20,0.2
DenseNet121 (c19e4c),single_arch,DenseNet,DenseNet121,224,6,16,5e-05,0.0,0.0001,0.03,0.9892630551488532,16,0.9789227166276346,~/Alzheimers/Results/ArchSweep/DenseNet121/c19e4c0a49,c19e4c0a49,20,0.2
ResNeXt101_32x8d (2e5a32),single_arch,ResNeXt,ResNeXt101_32x8d,224,6,16,0.0001,0.2,0.0001,0.03,0.9892630551488532,20,0.9789227166276346,~/Alzheimers/Results/ArchSweep/ResNeXt101_32x8d/2e5a3200c0,2e5a3200c0,20,0.2
ResNet152 (8e0365),single_arch,ResNet,ResNet152,224,6,16,5e-05,0.0,0.0001,0.03,0.985358711566618,20,0.9781420765027322,~/Alzheimers/Results/ArchSweep/ResNet152/8e03657098,8e03657098,20,0.2
ResNet152 (3ea4a4),single_arch,ResNet,ResNet152,224,6,16,0.0001,0.2,0.0001,0.03,0.99170326988775,16,0.9773614363778298,~/Alzheimers/Results/ArchSweep/ResNet152/3ea4a43ce9,3ea4a43ce9,20,0.2
DenseNet169 (dd0039),single_arch,DenseNet,DenseNet169,224,6,16,5e-05,0.0,0.0001,0.03,0.9936554416788678,18,0.9765807962529274,~/Alzheimers/Results/ArchSweep/DenseNet169/dd00390fc5,dd00390fc5,20,0.2
MobileNetV3_L (928704),single_arch,MobileNetV3,MobileNetV3_L,224,6,16,0.0001,0.2,0.0001,0.03,0.9882869692532944,16,0.9765807962529274,~/Alzheimers/Results/ArchSweep/MobileNetV3_L/928704d880,928704d880,20,0.2
ResNet101 (7bf3cc),single_arch,ResNet,ResNet101,224,6,16,5e-05,0.2,0.0001,0.03,0.985358711566618,19,0.975800156128025,~/Alzheimers/Results/ArchSweep/ResNet101/7bf3cce953,7bf3cce953,20,0.2
ResNet152 (d6385c),single_arch,ResNet,ResNet152,224,6,16,2.5e-05,0.2,0.0001,0.03,0.990239141044412,19,0.97423887587822,~/Alzheimers/Results/ArchSweep/ResNet152/d6385ca343,d6385ca343,20,0.2
DenseNet121 (01406c),single_arch,DenseNet,DenseNet121,224,6,16,5e-05,0.2,0.0001,0.03,0.990239141044412,20,0.9734582357533176,~/Alzheimers/Results/ArchSweep/DenseNet121/01406c9b81,01406c9b81,20,0.2
ResNeXt101_32x8d (883258),single_arch,ResNeXt,ResNeXt101_32x8d,224,6,16,0.0001,0.0,0.0001,0.03,0.986822840409956,18,0.9734582357533176,~/Alzheimers/Results/ArchSweep/ResNeXt101_32x8d/8832585650,8832585650,20,0.2
ResNet101 (36a331),single_arch,ResNet,ResNet101,224,6,16,2.5e-05,0.2,0.0001,0.03,0.9858467545143972,15,0.9734582357533176,~/Alzheimers/Results/ArchSweep/ResNet101/36a33141ed,36a33141ed,20,0.2
ResNeXt50_32x4d (dc761e),single_arch,ResNeXt,ResNeXt50_32x4d,224,6,16,2.5e-05,0.0,0.0001,0.03,0.9897510980966324,20,0.9726775956284152,~/Alzheimers/Results/ArchSweep/ResNeXt50_32x4d/dc761ef530,dc761ef530,20,0.2
ResNeXt50_32x4d (94dada),single_arch,ResNeXt,ResNeXt50_32x4d,224,6,16,2.5e-05,0.2,0.0001,0.03,0.9873108833577356,16,0.9726775956284152,~/Alzheimers/Results/ArchSweep/ResNeXt50_32x4d/94dada9447,94dada9447,20,0.2
VGG16 (86e629),single_arch,VGG,VGG16,224,6,16,2.5e-05,0.3,0.0001,0.03,0.986822840409956,18,0.9726775956284152,~/Alzheimers/Results/ArchSweep/VGG16/86e629fd03,86e629fd03,20,0.2
ResNet152 (190a06),single_arch,ResNet,ResNet152,224,6,16,2.5e-05,0.0,0.0001,0.03,0.9926793557833088,15,0.9718969555035128,~/Alzheimers/Results/ArchSweep/ResNet152/190a0612a9,190a0612a9,20,0.2
DenseNet169 (eeeae6),single_arch,DenseNet,DenseNet169,224,6,16,0.0001,0.2,0.0001,0.03,0.9838945827232796,19,0.9718969555035128,~/Alzheimers/Results/ArchSweep/DenseNet169/eeeae6a505,eeeae6a505,20,0.2
DenseNet121 (89597a),single_arch,DenseNet,DenseNet121,224,6,16,2.5e-05,0.0,0.0001,0.03,0.990239141044412,20,0.9711163153786104,~/Alzheimers/Results/ArchSweep/DenseNet121/89597a8418,89597a8418,20,0.2
ResNet101 (c394d3),single_arch,ResNet,ResNet101,224,6,16,5e-05,0.0,0.0001,0.03,0.9882869692532944,17,0.970335675253708,~/Alzheimers/Results/ArchSweep/ResNet101/c394d36898,c394d36898,20,0.2
ResNet152 (5e9712),single_arch,ResNet,ResNet152,224,6,16,5e-05,0.2,0.0001,0.03,0.986822840409956,20,0.9695550351288056,~/Alzheimers/Results/ArchSweep/ResNet152/5e971287b6,5e971287b6,20,0.2
ResNet152 (9be4a4),single_arch,ResNet,ResNet152,224,6,16,0.0001,0.0,0.0001,0.03,0.9824304538799414,18,0.9695550351288056,~/Alzheimers/Results/ArchSweep/ResNet152/9be4a43b77,9be4a43b77,20,0.2
MobileNetV3_L (ee52ae),single_arch,MobileNetV3,MobileNetV3_L,224,6,16,5e-05,0.0,0.0001,0.03,0.9785261102977062,20,0.9695550351288056,~/Alzheimers/Results/ArchSweep/MobileNetV3_L/ee52aec0ed,ee52aec0ed,20,0.2
ResNet50 (8d028b),single_arch,ResNet,ResNet50,224,6,16,2.5e-05,0.2,0.0001,0.03,0.9882869692532944,19,0.9687743950039032,~/Alzheimers/Results/ArchSweep/ResNet50/8d028bd145,8d028bd145,20,0.2
DenseNet121 (48e2f9),single_arch,DenseNet,DenseNet121,224,6,16,2.5e-05,0.2,0.0001,0.03,0.9863347974621768,19,0.9687743950039032,~/Alzheimers/Results/ArchSweep/DenseNet121/48e2f926cc,48e2f926cc,20,0.2
ResNeXt50_32x4d (b114fb),single_arch,ResNeXt,ResNeXt50_32x4d,224,6,16,5e-05,0.0,0.0001,0.03,0.9863347974621768,18,0.9687743950039032,~/Alzheimers/Results/ArchSweep/ResNeXt50_32x4d/b114fbfae6,b114fbfae6,20,0.2
ResNet50 (b8c270),single_arch,ResNet,ResNet50,224,6,16,2.5e-05,0.0,0.0001,0.03,0.9858467545143972,17,0.9687743950039032,~/Alzheimers/Results/ArchSweep/ResNet50/b8c270dfb6,b8c270dfb6,20,0.2
EffNetB0 (3ffb7b),single_arch,EffNet,EffNetB0,224,6,16,0.0001,0.0,0.0001,0.03,0.9848706686188384,20,0.9687743950039032,~/Alzheimers/Results/ArchSweep/EffNetB0/3ffb7bc9ec,3ffb7bc9ec,20,0.2
